Name,length,rank,Aut_B,Aut_C,Aut_B_stored,Aut_B_extra,Aut_C_extra,Aut_B_timed,Aut_C_stored
r3n6_12cb7,6,3,true,,true,true,,8850.380635214,
r3n6_fffff,6,3,true,,true,true,,70709.219276427,
r3n6_00c37,6,3,true,,true,true,,439.308965257,
r3n6_37dff,6,3,true,,true,true,,4429.146453055,
r3n6_00036,6,3,false,false,true,false,false,203.786276932,true
r3n6_001ff,6,3,false,true,true,false,true,1050.258640201,true
r3n6_0007f,6,3,false,true,true,false,true,428.410624517,true
r3n6_00007,6,3,true,false,true,true,false,101.133532655,true
r3n6_00037,6,3,false,true,true,false,true,238.76486318,true
r3n6_02cb3,6,3,true,true,true,true,true,685.415038013,true
r3n6_00413,6,3,false,false,true,false,false,249.831393594,true
r3n6_079ef,6,3,false,,true,false,,1173.135260926,
r3n6_00013,6,3,false,false,true,false,false,104.978873986,true
r3n6_0000f,6,3,false,false,true,false,false,205.369276221,true
r3n6_07dfd,6,3,true,,true,true,,1380.741384773,
r3n6_00c36,6,3,true,false,true,true,false,433.489648337,true
r3n7_000001ff7,7,3,false,,true,false,,3583.359983797,
r2n7_00cef,7,2,false,,true,false,,1.641016392,
r2n7_00467,7,2,false,,true,false,,1.496576896,
r1n7_3,7,1,false,,true,false,,24.172911886,
r3n7_000b72dc7,7,3,true,,true,true,,6748.958157015,
r2n7_003f1e,7,2,false,,true,false,,29.137838784,
r2n7_00023,7,2,false,,true,false,,0.99354055,
r3n7_001ef7bc0,7,3,false,,true,false,,7401.581113502,
r2n7_01dc1f,7,2,false,,true,false,,1.874703039,
r2n7_00007,7,2,false,,true,false,,0.6816349,
r3n7_000010043,7,3,false,,true,false,,533.570309895,
r2n7_00011f,7,2,false,,true,false,,3814.087091797,
r2n7_001e1f,7,2,false,,true,false,,4.195714295,
r3n7_0007e1f83,7,3,false,,true,false,,4060.609895259,
r3n7_000007bf6,7,3,false,,true,false,,13703.62872961,
r3n7_000b72dc0,7,3,false,,true,false,,5709.919794588,
r3n7_000000003,7,3,false,,true,false,,145.829679694,
r2n7_00001,7,2,false,,true,false,,21.065091689,
r2n7_7bff1f,7,2,false,,true,false,,1.989240919,
r2n7_2dde1f,7,2,false,,true,false,,2455.850701176,
r3n7_02cb32dd7,7,3,true,,true,true,,24093.976923819,
r1n7_7f,7,1,false,,true,false,,,
r2n7_04cef,7,2,false,,true,false,,,
r2n7_003f1f,7,2,false,,true,false,,,
r2n7_03fd1c,7,2,false,,true,false,,,
r3n7_0000000c7,7,3,false,,true,false,,,
r2n7_000ef,7,2,false,,true,false,,,
r3n7_000370dd5,7,3,true,,true,true,,,
r2n7_01de1f,7,2,false,,true,false,,,
r2n7_00003,7,2,false,,true,false,,,
r3n7_00000fff7,7,3,false,,true,false,,,
r3n7_0000300c7,7,3,false,,true,false,,,
r3n7_000b72dd7,7,3,false,,true,false,,,
r3n7_0000300c6,7,3,false,,true,false,,,
r3n7_02cb72dd6,7,3,true,,true,true,,,
r2n7_ffff1f,7,2,false,,true,false,,,
r3n7_0001304c7,7,3,false,,true,false,,,
r3n7_000370dd7,7,3,false,,true,false,,,
r3n7_0001304c3,7,3,false,,true,false,,,
r3n7_000000043,7,3,false,,true,false,,,
r3n7_000370dc3,7,3,false,,true,false,,,
r3n7_0007e1f80,7,3,false,,true,false,,,
r3n4_f,4,3,true,,true,true,,,
r3n7_02cb32d57,7,3,true,,true,true,,,
r2n7_7bfd1f,7,2,false,,true,false,,,
r2n7_00066,7,2,false,,true,false,,,
r3n7_0000003f7,7,3,false,,true,false,,,
r3n7_0000003f6,7,3,false,,true,false,,,
r2n7_03fd1f,7,2,false,,true,false,,,
r3n7_0000701d7,7,3,true,,true,true,,,
r3n7_02cb32d55,7,3,true,,true,true,,,
r3n7_000001fb4,7,3,false,,true,false,,,
r2n7_0000f,7,2,false,,true,false,,,
r2n7_1fff1f,7,2,false,,true,false,,,
r2n7_01dc1c,7,2,false,,true,false,,,
r3n7_001ef7bc7,7,3,false,,true,false,,,
r2n7_00ccf,7,2,false,,true,false,,,
r3n7_0000000c6,7,3,false,,true,false,,,
r3n7_01c7e1fb4,7,3,false,,true,false,,,
r3n7_000000001,7,3,false,,true,false,,,
r2n7_0dde1f,7,2,false,,true,false,,,
r3n7_0000f03f7,7,3,false,,true,false,,,
r3n7_000360d80,7,3,false,,true,false,,,
r2n7_000ee,7,2,false,,true,false,,,
r1n7_3f,7,1,false,,true,false,,,
r3n7_000001fb7,7,3,false,,true,false,,,
r2n7_1fbf1f,7,2,false,,true,false,,,
r3n7_000360d83,7,3,false,,true,false,,,
r3n7_00c370dd7,7,3,true,,true,true,,,
r3n7_000360d97,7,3,false,,true,false,,,
r1n7_f,7,1,false,,true,false,,,
r3n7_000002dd7,7,3,false,,true,false,,,
r1n7_1f,7,1,false,,true,false,,,
r3n7_0000701d6,7,3,true,,true,true,,,
r3n7_0007e1fb4,7,3,false,,true,false,,,
r2n7_00001f,7,2,false,,true,false,,,
r2n7_0d9e1f,7,2,false,,true,false,,,
r2n7_00067,7,2,false,,true,false,,,
r3n7_0007f1ff5,7,3,true,,true,true,,,
r2n7_001e1e,7,2,false,,true,false,,,
r3n7_000000017,7,3,false,,true,false,,,
r2n7_7fff1f,7,2,false,,true,false,,,
r3n7_000000007,7,3,false,,true,false,,,
r1n7_7,7,1,false,,true,false,,,
r3n7_0007e1fb7,7,3,false,,true,false,,,
r3n7_02cb72dd7,7,3,true,,true,true,,,
r3n7_0000001d7,7,3,false,,true,false,,,
r1n7_1,7,1,false,,true,false,,,
r3n7_000000dd7,7,3,false,,true,false,,,
r3n7_0041304c7,7,3,false,,true,false,,,
r2n7_03ff1f,7,2,false,,true,false,,,
r2n7_1fb91f,7,2,false,,true,false,,,
r3n7_0007f1fc3,7,3,false,,true,false,,,
r3n7_0000001d6,7,3,false,,true,false,,,
r3n7_0000004c7,7,3,false,,true,false,,,
r3n7_001ff7fc0,7,3,false,,true,false,,,
r3n7_00c360dd7,7,3,true,,true,true,,,
r3n7_000000d97,7,3,false,,true,false,,,
r3n7_000000037,7,3,false,,true,false,,,
r3n7_0000f03f6,7,3,false,,true,false,,,
r3n7_0007f1ff7,7,3,false,,true,false,,,
r3n7_000007bf7,7,3,false,,true,false,,,
r2n7_1fbf1e,7,2,false,,true,false,,,
r3n7_000007ff7,7,3,false,,true,false,,,
r2n7_0d9e1e,7,2,false,,true,false,,,
r3n7_0fffffff7,7,3,false,,true,,,,
